avg_price,closed_price,datetime,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,name,open_price,rarity,volume,wa_price
12.5,10.0,2021-02-13,10.0,15.0,60286829ecdd910023cc6a88,15.0,12.5,10.0,0.0,13.9,Abating Link,10.0,Rare,4.0,12.5
10.0,10.0,2021-02-13,10.0,14.0,6028688eecdd910024cc4cfa,10.0,10.0,10.0,0.0,11.6,Abundant Mutation,10.0,Rare,1.0,10.0
1.5,1.0,2021-02-12,1.0,3.0,602716a7ecdd910025c9b1d7,2.0,1.5,1.0,0.0,2.2,Accelerated Blast,2.0,Rare,2.0,1.5
4.0,4.0,2021-01-20,1.0,4.0,6008c42eecdd910023b4cdbe,4.0,4.0,4.0,0.0,2.6,Accelerated Deflection,4.0,Uncommon,1.0,4.0
17.5,15.0,2021-02-13,9.0,20.0,6028685becdd910023cc729d,20.0,17.5,15.0,3.0,12.6,Accumulating Whipclaw,20.0,Rare,2.0,17.5
8.0,8.0,2021-02-11,7.0,11.0,6025c516ecdd910024ca354c,8.0,8.0,8.0,0.0,8.9,Acid Shells,8.0,Uncommon,1.0,8.0
80.0,65.0,2021-02-13,65.0,110.0,60286858ecdd910023cc71f4,95.0,85.0,65.0,10.0,85.4,Adaptation,85.0,Rare,19.0,78.632
10.0,10.0,2021-02-10,10.0,10.0,602473bfecdd910025c7c498,10.0,10.0,10.0,3.0,,Afterburn,10.0,Rare,1.0,10.0
10.0,10.0,2021-02-10,9.0,10.0,602473eeecdd910022c8e0c0,10.0,10.0,10.0,3.0,8.6,Afterburner,10.0,Rare,1.0,10.0
15.0,15.0,2021-02-12,9.0,15.0,6027170cecdd910022cadfde,15.0,15.0,15.0,0.0,11.2,Air Time,15.0,Common,2.0,15.0
25.0,25.0,2021-02-09,25.0,65.0,6023225decdd910023c871e3,25.0,25.0,25.0,0.0,47.8,Ambush,25.0,Rare,2.0,25.0
8.0,8.0,2021-02-11,7.0,10.0,6025c524ecdd910025c8b029,8.0,8.0,8.0,0.0,7.4,Ammo Stock,8.0,Uncommon,1.0,8.0
20.0,25.0,2021-02-13,5.0,30.0,60286857ecdd910023cc71d9,25.0,20.0,15.0,5.0,17.4,Anemic Agility,15.0,Rare,2.0,20.0
4.5,4.0,2021-02-13,3.0,5.0,60286856ecdd910025cabdea,5.0,4.0,4.0,0.0,4.2,Animal Instinct,4.0,Rare,9.0,4.111
12.0,12.0,2021-02-13,9.0,15.0,60286810ecdd910023cc669c,12.0,12.0,12.0,0.0,11.2,Antimatter Absorb,12.0,Rare,1.0,12.0
50.0,50.0,2021-01-03,40.0,50.0,5ff25abfecdd910022a41256,50.0,50.0,50.0,0.0,,Antimatter Mine,50.0,Rare,1.0,50.0
4.0,4.0,2021-02-02,3.0,5.0,6019e7a6ecdd910025bfc553,4.0,4.0,4.0,0.0,3.8,Antitoxin,4.0,Uncommon,1.0,4.0
11.5,10.0,2021-02-13,5.0,13.0,60286835ecdd910023cc6c8e,13.0,11.5,10.0,5.0,10.5,Armored Agility,13.0,Rare,5.0,11.2
11.5,13.0,2021-02-13,10.0,15.0,60286865ecdd910025cac098,13.0,11.5,10.0,0.0,12.6,Assimilate,10.0,Rare,2.0,11.5
9.0,9.0,2021-02-13,9.0,12.0,60286822ecdd910023cc693b,9.0,9.0,9.0,0.0,10.2,Auger Strike,9.0,Rare,1.0,9.0
4.0,4.0,2021-02-13,2.0,5.0,60286804ecdd910023cc658b,4.0,4.0,4.0,0.0,4.2,Aviator,4.0,Common,1.0,4.0
12.0,12.0,2021-02-13,10.0,15.0,6028688cecdd910022cbdabb,12.0,12.0,12.0,0.0,12.0,Balefire Surge,12.0,Rare,1.0,12.0
13.0,13.0,2021-02-03,13.0,15.0,601b3930ecdd910024c23b56,13.0,13.0,13.0,0.0,13.0,Ballistic Bullseye,13.0,Rare,1.0,13.0
13.5,15.0,2021-02-13,10.0,20.0,60286816ecdd910024cc3aa5,15.0,14.0,12.0,5.0,13.6,Barrel Diffusion,12.0,Rare,4.0,13.75
10.0,10.0,2021-01-27,10.0,10.0,6011feb7ecdd910023bb9fff,10.0,10.0,10.0,5.0,,Battering Maneuver,10.0,Uncommon,1.0,10.0
13.0,13.0,2021-02-11,10.0,25.0,6025c512ecdd910022c9cd0b,13.0,13.0,13.0,3.0,20.6,Beguiling Lantern,13.0,Rare,2.0,13.0
12.5,11.0,2021-02-13,10.0,20.0,60286841ecdd910024cc403d,15.0,11.0,10.0,5.0,15.4,Berserker,10.0,Rare,7.0,12.0
99.0,99.0,2021-02-13,80.0,150.0,6028682decdd910023cc6b3a,99.0,99.0,99.0,10.0,110.8,Bite,99.0,Rare,3.0,99.0
54.0,60.0,2021-02-13,43.0,60.0,6028680becdd910023cc6654,60.0,60.0,48.0,3.0,50.3,Blaze,48.0,Rare,3.0,56.0
16.0,18.0,2021-02-13,10.0,18.0,6028688decdd910024cc4ca4,18.0,16.0,14.0,0.0,13.9,Blazing Pillage,14.0,Rare,2.0,16.0
12.0,10.0,2021-02-13,10.0,14.0,6028688aecdd910023cc7ac6,14.0,12.0,10.0,0.0,13.0,Blending Talons,14.0,Rare,2.0,12.0
100.0,90.0,2021-02-13,70.0,110.0,60286813ecdd910024cc3a54,110.0,100.0,90.0,10.0,89.1,Blind Rage,100.0,Rare,18.0,98.333
10.0,10.0,2021-02-09,10.0,15.0,6023224eecdd910023c86f0e,10.0,10.0,10.0,0.0,13.0,Blinding Reave,10.0,Rare,1.0,10.0
10.0,10.0,2021-02-11,10.0,15.0,6025c581ecdd910022c9de0f,10.0,10.0,10.0,0.0,11.2,Blood Forge,10.0,Rare,1.0,10.0
79.5,74.0,2021-02-13,49.0,100.0,60286835ecdd910023cc6c7f,85.0,76.0,74.0,10.0,71.3,Blood Rush,80.0,Uncommon,14.0,76.286
3.0,1.0,2021-02-07,1.0,5.0,60207f54ecdd910024c64591,5.0,3.0,1.0,0.0,2.4,Blunderbuss,5.0,Common,2.0,3.0
40.0,40.0,2021-02-12,15.0,44.0,602716a2ecdd910025c9b104,40.0,40.0,40.0,5.0,25.4,Body Count,40.0,Common,1.0,40.0
16.0,16.0,2021-02-13,14.0,20.0,6028688aecdd910025cac657,16.0,16.0,16.0,0.0,17.6,Bomb The Landin',16.0,Rare,1.0,16.0
10.0,10.0,2021-02-13,10.0,12.0,6028682aecdd910025cab5ab,10.0,10.0,10.0,5.0,12.0,Bore,10.0,Rare,1.0,10.0
